weather_id;date;time;city_name;temp_c;temp_f
202301-3111-1137-63b38217-d105-446c-813e-2a5b51edfddc;2023-01-31;11:11:37.725363;Moscow;0.0;32.0
202301-3111-1138-335b50a3-106d-43df-b068-ead196e4c59e;2023-01-31;11:11:38.966144;London;9.0;48.0
202301-3111-1220-8983c99b-1dfb-4ec9-b84d-f684c1bf965e;2023-01-31;11:12:20.495912;Moscow;0.0;32.0
202301-3111-1221-5a424e50-eb1b-4254-9307-0b0630eee64d;2023-01-31;11:12:21.698796;London;9.0;48.0
202301-3114-5648-78fa2de4-0ccd-49c5-9ae2-80e790e4f6ae;2023-01-31;14:56:48.598630;Moscow;0.0;32.0
202301-3114-5650-9909fa3c-fb08-4ff7-8122-488ffa5f0856;2023-01-31;14:56:50.224627;London;11.0;52.0
202301-3114-5914-d214156e-f060-4be9-9ade-3732f3a76df5;2023-01-31;14:59:14.541966;Moscow;0.0;32.0
202301-3114-5915-1a4498b3-ba61-4e80-82c4-703c8aa6d703;2023-01-31;14:59:15.815832;London;11.0;52.0
